country_en_x,cases_x,deaths_x,country_en_y,cases_y,deaths_y
United States,102717337,1143992,United States,102717337,1143992
United States,102717337,1143992,India,44689072,530776
United States,102717337,1143992,France,39661650,165135
United States,102717337,1143992,Germany,38241231,168808
United States,102717337,1143992,Brazil,37085520,699310
United States,102717337,1143992,Japan,33298296,72989
United States,102717337,1143992,South Korea,30605187,34081
United States,102717337,1143992,Italy,25603510,188322
United States,102717337,1143992,United Kingdom,24370154,206952
United States,102717337,1143992,Russia,22388556,396463
United States,102717337,1143992,Turkey,17042722,101492
United States,102717337,1143992,Spain,13770429,119479
United States,102717337,1143992,Vietnam,11527012,43186
United States,102717337,1143992,Australia,11385534,19459
United States,102717337,1143992,Taiwan,10143788,18371
United States,102717337,1143992,Argentina,10044957,130472
United States,102717337,1143992,Netherlands,8600120,22992
United States,102717337,1143992,Tuvalu,2779,0
United States,102717337,1143992,Niue,747,0
United States,102717337,1143992,Int'l conveyance (Japan),741,13
United States,102717337,1143992,Holy See,29,0
United States,102717337,1143992,North Korea,2,1
India,44689072,530776,United States,102717337,1143992
India,44689072,530776,India,44689072,530776
India,44689072,530776,France,39661650,165135
India,44689072,530776,Germany,38241231,168808
India,44689072,530776,Brazil,37085520,699310
India,44689072,530776,Japan,33298296,72989
India,44689072,530776,South Korea,30605187,34081
India,44689072,530776,Italy,25603510,188322
India,44689072,530776,United Kingdom,24370154,206952
India,44689072,530776,Russia,22388556,396463
India,44689072,530776,Turkey,17042722,101492
India,44689072,530776,Spain,13770429,119479
India,44689072,530776,Vietnam,11527012,43186
India,44689072,530776,Australia,11385534,19459
India,44689072,530776,Taiwan,10143788,18371
India,44689072,530776,Argentina,10044957,130472
India,44689072,530776,Netherlands,8600120,22992
India,44689072,530776,Tuvalu,2779,0
India,44689072,530776,Niue,747,0
India,44689072,530776,Int'l conveyance (Japan),741,13
India,44689072,530776,Holy See,29,0
India,44689072,530776,North Korea,2,1
France,39661650,165135,United States,102717337,1143992
France,39661650,165135,India,44689072,530776
France,39661650,165135,France,39661650,165135
France,39661650,165135,Germany,38241231,168808
France,39661650,165135,Brazil,37085520,699310
France,39661650,165135,Japan,33298296,72989
France,39661650,165135,South Korea,30605187,34081
France,39661650,165135,Italy,25603510,188322
France,39661650,165135,United Kingdom,24370154,206952
France,39661650,165135,Russia,22388556,396463
France,39661650,165135,Turkey,17042722,101492
France,39661650,165135,Spain,13770429,119479
France,39661650,165135,Vietnam,11527012,43186
France,39661650,165135,Australia,11385534,19459
France,39661650,165135,Taiwan,10143788,18371
France,39661650,165135,Argentina,10044957,130472
France,39661650,165135,Netherlands,8600120,22992
France,39661650,165135,Tuvalu,2779,0
France,39661650,165135,Niue,747,0
France,39661650,165135,Int'l conveyance (Japan),741,13
France,39661650,165135,Holy See,29,0
France,39661650,165135,North Korea,2,1
Germany,38241231,168808,United States,102717337,1143992
Germany,38241231,168808,India,44689072,530776
Germany,38241231,168808,France,39661650,165135
Germany,38241231,168808,Germany,38241231,168808
Germany,38241231,168808,Brazil,37085520,699310
Germany,38241231,168808,Japan,33298296,72989
Germany,38241231,168808,South Korea,30605187,34081
Germany,38241231,168808,Italy,25603510,188322
Germany,38241231,168808,United Kingdom,24370154,206952
Germany,38241231,168808,Russia,22388556,396463
Germany,38241231,168808,Turkey,17042722,101492
Germany,38241231,168808,Spain,13770429,119479
