Rank,CCA3,Country/Territory,Capital,Continent,Area (km2)
1,CHN,China,Beijing,Asia,9706961
2,IND,India,New Delhi,Asia,3287590
3,USA,United States,"Washington, D.C.",North America,9372610
4,IDN,Indonesia,Jakarta,Asia,1904569
5,PAK,Pakistan,Islamabad,Asia,881912
6,NGA,Nigeria,Abuja,Africa,923768
7,BRA,Brazil,Brasilia,South America,8515767
8,BGD,Bangladesh,Dhaka,Asia,147570
9,RUS,Russia,Moscow,Europe,17098242
10,MEX,Mexico,Mexico City,North America,1964375
11,JPN,Japan,Tokyo,Asia,377930
12,ETH,Ethiopia,Addis Ababa,Africa,1104300
13,PHL,Philippines,Manila,Asia,342353
14,EGY,Egypt,Cairo,Africa,1002450
15,COD,DR Congo,Kinshasa,Africa,2344858
16,VNM,Vietnam,Hanoi,Asia,331212
17,IRN,Iran,Tehran,Asia,1648195
18,TUR,Turkey,Ankara,Asia,783562
19,DEU,Germany,Berlin,Europe,357114
20,THA,Thailand,Bangkok,Asia,513120
21,GBR,United Kingdom,London,Europe,242900
22,TZA,Tanzania,Dodoma,Africa,945087
23,FRA,France,Paris,Europe,551695
24,ZAF,South Africa,Pretoria,Africa,1221037
25,ITA,Italy,Rome,Europe,301336
26,MMR,Myanmar,Nay Pyi Taw,Asia,676578
27,KEN,Kenya,Nairobi,Africa,580367
28,COL,Colombia,Bogota,South America,1141748
29,KOR,South Korea,Seoul,Asia,100210
30,ESP,Spain,Madrid,Europe,505992
31,UGA,Uganda,Kampala,Africa,241550
32,SDN,Sudan,Khartoum,Africa,1886068
33,ARG,Argentina,Buenos Aires,South America,2780400
34,DZA,Algeria,Algiers,Africa,2381741
35,IRQ,Iraq,Baghdad,Asia,438317
36,AFG,Afghanistan,Kabul,Asia,652230
37,POL,Poland,Warsaw,Europe,312679
38,UKR,Ukraine,Kiev,Europe,603500
39,CAN,Canada,Ottawa,North America,9984670
40,MAR,Morocco,Rabat,Africa,446550
41,SAU,Saudi Arabia,Riyadh,Asia,2149690
42,AGO,Angola,Luanda,Africa,1246700
43,UZB,Uzbekistan,Tashkent,Asia,447400
44,PER,Peru,Lima,South America,1285216
45,MYS,Malaysia,Kuala Lumpur,Asia,330803
46,YEM,Yemen,Sanaa,Asia,527968
