Rank,CCA3,Country/Territory,Capital,Continent,Area (km2)
1,CHN,China,Beijing,Asia,9706961
2,IND,India,New Delhi,Asia,3287590
4,IDN,Indonesia,Jakarta,Asia,1904569
5,PAK,Pakistan,Islamabad,Asia,881912
8,BGD,Bangladesh,Dhaka,Asia,147570
11,JPN,Japan,Tokyo,Asia,377930
13,PHL,Philippines,Manila,Asia,342353
16,VNM,Vietnam,Hanoi,Asia,331212
17,IRN,Iran,Tehran,Asia,1648195
18,TUR,Turkey,Ankara,Asia,783562
20,THA,Thailand,Bangkok,Asia,513120
26,MMR,Myanmar,Nay Pyi Taw,Asia,676578
29,KOR,South Korea,Seoul,Asia,100210
35,IRQ,Iraq,Baghdad,Asia,438317
36,AFG,Afghanistan,Kabul,Asia,652230
41,SAU,Saudi Arabia,Riyadh,Asia,2149690
43,UZB,Uzbekistan,Tashkent,Asia,447400
45,MYS,Malaysia,Kuala Lumpur,Asia,330803
46,YEM,Yemen,Sanaa,Asia,527968
49,NPL,Nepal,Kathmandu,Asia,147181
56,PRK,North Korea,Pyongyang,Asia,120538
57,TWN,Taiwan,Taipei,Asia,36193
60,SYR,Syria,Damascus,Asia,185180
61,LKA,Sri Lanka,Colombo,Asia,65610
66,KAZ,Kazakhstan,Nursultan,Asia,2724900
73,KHM,Cambodia,Phnom Penh,Asia,181035
83,JOR,Jordan,Amman,Asia,89342
91,AZE,Azerbaijan,Baku,Asia,86600
95,TJK,Tajikistan,Dushanbe,Asia,143100
97,ARE,United Arab Emirates,Abu Dhabi,Asia,83600
98,ISR,Israel,Jerusalem,Asia,20770
103,LAO,Laos,Vientiane,Asia,236800
104,HKG,Hong Kong,Hong Kong,Asia,1104
110,KGZ,Kyrgyzstan,Bishkek,Asia,199951
111,TKM,Turkmenistan,Ashgabat,Asia,488100
113,SGP,Singapore,Singapore,Asia,710
119,LBN,Lebanon,Beirut,Asia,10452
122,PSE,Palestine,Ramallah,Asia,6220
127,OMN,Oman,Muscat,Asia,309500
129,KWT,Kuwait,Kuwait City,Asia,17818
131,GEO,Georgia,Tbilisi,Asia,69700
134,MNG,Mongolia,Ulaanbaatar,Asia,1564110
140,ARM,Armenia,Yerevan,Asia,29743
143,QAT,Qatar,Doha,Asia,11586
154,BHR,Bahrain,Manama,Asia,765
155,TLS,Timor-Leste,Dili,Asia,14874
165,BTN,Bhutan,Thimphu,Asia,38394
167,MAC,Macau,Concelho de Macau,Asia,30
174,MDV,Maldives,Male,Asia,300
175,BRN,Brunei,Bandar Seri Begawan,Asia,5765
