country_en,cases,deaths
United States,"102,717,337","1,143,992"
India,"44,689,072","530,776"
France,"39,661,650","165,135"
Germany,"38,241,231","168,808"
Russia,"22,388,556","396,463"
Turkey,"17,042,722","101,492"
Spain,"13,770,429","119,479"
Vietnam,"11,527,012","43,186"
Australia,"11,385,534","19,459"
Taiwan,"10,143,788","18,371"
Argentina,"10,044,957","130,472"
Netherlands,"8,600,120","22,992"
Iran,"7,571,996","144,922"
Tuvalu,"2,779",0
Niue,747,0
Int'l conveyance (Japan),741,13
Holy See,29,0
