N,NetWorth,Country,Source,Rank,Age,Industry
Jeff Bezos,$177 B,United States,Amazon,1,57,Technology
Elon Musk,$151 B,United States,"Tesla, SpaceX",2,49,Automotive
Bernard Arnault & family,$150 B,France,LVMH,3,72,Fashion & Retail
Bill Gates,$124 B,United States,Microsoft,4,65,Technology
Ma Huateng,$65.8 B,China,internet media,15,49,Technology
Carlos Slim Helu & family,$62.8 B,Mexico,telecom,16,81,Telecom
Alice Walton,$61.8 B,United States,Walmart,17,71,Fashion & Retail
Jim Walton,$60.2 B,United States,Walmart,18,72,Fashion & Retail
Rob Walton,$59.5 B,United States,Walmart,19,76,Fashion & Retail
Michael Bloomberg,$59 B,United States,Bloomberg LP,20,79,Media & Entertainment
